credential_id,credential_status,recipient_user_id,author_user_id,completion_date,expiration_date,issuing_makerspace_id,created_at,last_updated,credential_model_id
2d3502ad-dc7e-44d2-b80b-3ed3366c50bc,pending_user,956e1c63-e772-47e1-b550-14035f312535,e05574de-f7e4-4ae1-b987-105534bd6505,2025-10-02,,0b1b9009-4f3f-4925-bf56-8c52470d9c85,2025-10-02 20:52:25.756123+00,2025-10-02 20:52:25.756123+00,55332a07-a2fb-4b5e-ae3d-930e1cdfff28
85f03d63-0c1c-4957-b91a-27122cc728c0,active_user,eb1e80e3-8e3e-45e9-9bc3-1df313fc5e5f,eb1e80e3-8e3e-45e9-9bc3-1df313fc5e5f,2025-08-14,,0b1b9009-4f3f-4925-bf56-8c52470d9c85,2025-08-14 06:41:03+00,2025-08-14 06:41:06+00,e2b09547-2259-47c1-99fe-73061f4f6ec0
b20e2d82-6e59-44a9-beda-d873c7e2f5b4,pending_user,e05574de-f7e4-4ae1-b987-105534bd6505,eb1e80e3-8e3e-45e9-9bc3-1df313fc5e5f,2025-08-14,,0b1b9009-4f3f-4925-bf56-8c52470d9c85,2025-08-14 16:36:19.12258+00,2025-08-14 16:36:19.12258+00,783de8b0-12a2-4b17-a9fa-509c7db2bd27
